"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","AP2M1",0.882591747358207
"68_3__batch1","day1_vs_control","ARPP19",0.037864247817426
"68_3__batch1","day1_vs_control","ATCAY",0.694492736586339
"68_3__batch1","day1_vs_control","XRCC5",0.241227241324067
"68_3__batch1","day1_vs_control","SON",0.183200060640516
"68_3__batch1","day1_vs_control","CD200",-0.341483042554454
"68_3__batch1","day1_vs_control","CSRNP3",0.0826039553025577
"68_3__batch1","day1_vs_control","MTMR4",-0.168027728066805
"68_3__batch1","day1_vs_control","TRO",0.281882149245012
"68_3__batch1","day1_vs_control","LDHB",0.137354723233678
"68_3__batch1","day1_vs_control","ATP6V1B2",0.179972715893175
"68_3__batch1","day1_vs_control","WHSC1",0.0662395941648395
"68_3__batch1","day1_vs_control","TENM1",-0.367467460541826
"68_3__batch1","day1_vs_control","TSPAN3",-0.415965173499343
"68_3__batch1","day1_vs_control","SNAP91",0.0684384800444704
"68_3__batch1","day1_vs_control","ABLIM1",0.378705539448736
"68_3__batch1","day1_vs_control","TRIB2",-0.210309954796131
"68_3__batch1","day1_vs_control","NOVA1",-0.207932434761517
"68_3__batch1","day1_vs_control","SNHG14",-0.539578688293469
"68_3__batch1","day1_vs_control","VAT1",1.20971719833741
"68_3__batch1","day1_vs_control","RAB3B",0.0584434152176456
"68_3__batch1","day1_vs_control","BMPR2",-0.00278433398385758
"68_3__batch1","day1_vs_control","SCAMP5",0.539043339986947
"68_3__batch1","day1_vs_control","FDFT1",0.31204740534363
"68_3__batch1","day1_vs_control","SLC39A6",-0.315316903297163
"68_3__batch1","day1_vs_control","SCAMP1",-0.448519432376587
"68_3__batch1","day1_vs_control","TSPAN13",-0.509446848087631
"68_3__batch1","day1_vs_control","SRSF11",-1.00093597195774
"68_3__batch1","day1_vs_control","PRKCB",0.10411418728105
"68_3__batch1","day1_vs_control","GNAQ",0.18797487162575
"68_3__batch1","day1_vs_control","SLC38A2",-0.812998135774857
"68_3__batch1","day1_vs_control","ACSL3",-0.394946954696911
"68_3__batch1","day1_vs_control","PJA1",0.42883689555687
"68_3__batch1","day1_vs_control","HECTD4",0.119765856757397
